0	OK	Chip	Sunflower	Fin	Rockets	Silver	Fresh		Raygun		Kittyboto	2
1	OK	Bulb	Sunflower	Cape	Tractor Wheel	Copper	Shades	Moustache	Bun		Puppyboto	1
2	OK	Pearl Earring	Strawberry	Cape	High Tops	Hot Pink	Hey	Bracket	Side Part		Kittyboto	1
3	OK	Sonar	Mint	Cape	Moto	Lavander	Thin Visor		Glass		Kittyboto	3
4	OK	Ring	Candy Blue	Bat Wings	Wheels	Teal		Scruffy	Bunny Ears		Cyborgee	1
5	OK		Blush		Moto	Teal	Straight Visor	Open Mouth		Mullet	Puppy Helmeto	1
6	OK	Chip	Powder	Fin	Rubber Duck	Teal			Glass		Frogboto	1
7	OK	Ring	Blush	Battery Pack	Scooter	Rose Gold	Big Visor	Smile	Bunny Ears		Puppyboto	2
8	OK		Golden Rod	Lightning Bolt	Vaccum	Teal	Dead Eyes	Tongue Out		Dino	Puppy Helmeto	2
9	OK		Mustard	Cape	High Tops	Teal	Blinking Eyes	Small Patch		Fro	Kitty Helmeto	2
10	OK		Mint	Happy Pack	High Tops	Slate	Dim	Smile		Mouse	Puppy Helmeto	1
11	OK	Ring	Strawberry		Power Legs	Lavander	80s Pop	Moustache	Rough Mohawk		Piggyboto	1
12	OK	Pearl Earring	Strawberry	Lightning Bolt	Moto	Ruby		Scruffy	Horns		Cyborgee	2
13	OK	Lightbolt Earring	Candy Blue		UFO	Slate	Two Eyes		Pyramid Horns		Kittyboto	1
14	OK	Ring	Golden Rod		Power Legs	Silver	Hally	Flying Tongue	Antenna		Piggyboto	2
15	OK	Bandaid	Mustard		Mono Thunder	Copper	Eager Eyes	Open Mouth	Curly		Piggyboto	1
16	OK		Golden Rod	Katana	Rockets	Copper	80s Pop	Flying Tongue		Yellow Owl	Puppy Helmeto	2
17	OK	Bolt	Digital Blue	Parachute	Power Legs	Hot Pink	Dim		Dogeboto		Kittyboto	2
18	OK	Bolt	Digital Blue		Rockets	Lavander	Two Eyes		Ginger		Koalaboto	1
19	OK	Rhombus Earring	Digital Blue	Battery Pack	Turbo Board	Smoke		Squiggle	Glass		Cyborgee	1
20	OK	Vertical Antenna	Blush	Wings	Rumbler	Hot Pink	80s Pop		Sheep		Kittyboto	2
21	NotFound
22	OK		Golden Rod		Wheels	Hot Pink	Calm	Big Spot		Mullet	Kitty Helmeto	1
23	OK	Sonar	Powder	Flag	Vaccum	Teal	Cute Visor		Rough Mohawk		Kittyboto	2
24	OK	Microchip	Seafoam	Rocket	Rubber Duck	Teal			Ginger		Frogboto	1
25	OK	Vertical Antenna	Neon Pink	Battery	Moto	Silver	Straight Visor		Disco Ball		Kittyboto	2
26	OK		Powder	Flag	Moto	Smoke	Sleepy	Tongue Out		Mia Bangs	Puppy Helmeto	1
27	OK		Golden Rod	Katana	Flip Flops	Lavander	Multicolor	Open Mouth		Pink Owl	Puppy Helmeto	2
28	OK	Chip	Powder	Battery	Mono Thunder	Lavander		Squiggle	Big Horns		Cyborgee	1
29	OK	Lightbolt Earring	Golden Rod	Battery Pack	Power Legs	Silver	Two Eyes		Pyramid Horns		Kittyboto	2
30	OK	Teal Flower	Sunflower	Dino Tail	Moto	Ruby	Glam Shades		Raygun		Kittyboto	2
31	OK	Radar	Blush		Rockets	Hot Pink	Glam Shades		Curly		Koalaboto	1
32	OK	Bulb	Powder	Flag	Scooter	Slate		Commander	Cowboy		Cyborgee	1
33	NotFound
34	OK	Lightbolt Earring	Neon Pink		UFO	Teal	Visor	Tongue Out	Cable		Piggyboto	1
35	OK	Pearl Earring	Strawberry		UFO	Slate	Bored Eyes	Moustache	Curly		Piggyboto	1
36	OK	Antenna	Strawberry		Wheels	Lavander	Straight Visor		Bun		Koalaboto	2
37	OK	Antenna	Candy Blue	Battery	Turbo Board	Copper	Eye Grease	Open Mouth	Crown		Puppyboto	2
38	OK		Digital Blue	Katana	Air	Smoke	Two Eyes	Open Mouth		Fro	Puppy Helmeto	1
39	OK	Bolt	Mustard	Happy Pack	Flip Flops	Ruby	Artoo		Blue Monkey		Kittyboto	1
40	OK		Mint	Rocket	Tractor Wheel	Rose Gold	Dead Eyes	Small Patch		Astronaut	Kitty Helmeto	2
41	OK	Radar	Powder	Lightning Bolt	Mono Thunder	Silver	Three Eyes		Air Cut		Kittyboto	2
42	OK	Ancient Sonar	Pear		High Tops	Gold	3D Glasses		Raygun		Koalaboto	1
43	NotFound
44	OK		Powder	Bat Wings	Scooter	Smoke	Big Visor	Spots		Croc	Kitty Helmeto	2
45	NotFound
46	OK	Rhombus Earring	Mustard		UFO	Teal	Thin Visor	Open Mouth	Cable		Puppyboto	1
47	OK	Blurple Flower	Digital Blue		Wheels	Lavander	Thin Visor		Cowboy		Lionboto	1
48	OK		Sunflower	Katana	Rockets	Teal	Thin Visor	Flying Tongue		Astronaut	Puppy Helmeto	4
49	OK	Blurple Flower	Sunflower	Reptail	Flip Flops	Hot Pink	Thug Life	Flying Tongue	Air Cut		Puppyboto	3
50	OK	Microchip	Candy Blue	Battery Pack	Mono Thunder	Lavander	Sleepy		Baseball Cap		Kittyboto	2
51	NotFound
52	OK	Blue Flower	Mint	Lightning Bolt	Air	Teal	Eyepatch	Tongue Out	Goggles		Puppyboto	2
53	OK	Pearl Earring	Golden Rod		Power Legs	Hot Pink	Eyepatch	Open Mouth	Raygun		Piggyboto	1
54	OK	Ring	Powder	Cape	Rumbler	Ruby		Architect	Bun		Cyborgee	1
55	OK	Pearl Earring	Neon Pink	Horn	Banana	Teal	Thin Visor	Open Mouth	Blue Monkey		Puppyboto	2
56	OK	Lightning	Seafoam	Battery Pack	Moto	Lavander		Scruffy	Cat		Cyborgee	1
57	OK		Mustard	Pendant Fish	Turbo Board	Hot Pink	Straight Visor	Big Spot		Mouse	Kitty Helmeto	3
58	OK	Chip	Powder	Cape	Air	Smoke	Dead Eyes	Open Mouth	Goggles		Puppyboto	2
59	OK	Blurple Flower	Candy Blue	Battery	Mono Thunder	Slate	Thin Visor	Tongue Out	Pirate Hat		Puppyboto	2
60	OK	Rhombus Earring	Seafoam		Cowboy Boots	Slate	Dim	Tongue Out	Ginger		Piggyboto	1
61	OK	Blue Flower	Digital Blue	Charlie Cat	Air	Silver			Glass		Frogboto	1
62	OK	Bulb	Digital Blue		UFO	Rose Gold	Bored Eyes	Open Mouth	Mohawk		Puppyboto	2
63	OK		Blush	Horn	Mono Thunder	Lavander	3D Glasses	Beard		Panda	Kitty Helmeto	2
64	OK		Strawberry	Battery	Rumbler	Gold	Hally	Big Spot		Revolutionary	Kitty Helmeto	3
65	OK	Microchip	Candy Blue	Rocket	Roomba	Teal		Robyn	Bunny Ears		Cyborgee	2
66	NotFound
67	OK	Sonar	Sunflower	Katana	Cowboy Boots	Ruby	Sleepy		Bulb		Kittyboto	1
68	OK		Candy Blue	Fin	Wheels	Silver	Cute Visor	Small Patch		Cow	Kitty Helmeto	2
69	OK	Ring	Sunflower	Battery Pack	Rubber Duck	Silver	Sleepy		Halo		Kittyboto	2
70	OK	Rhombus Earring	Mustard	Wings	High Tops	Lavander	Hey		Mullet		Bunnyboto	1
71	OK	Bolt	Mint	Pendant Fish	Rumbler	Hot Pink	Cute Visor		Bunny Ears		Kittyboto	1
72	NotFound
73	OK		Neon Pink	Lightning Bolt	High Tops	Lavander	Multicolor	Tongue Out		Cow	Puppy Helmeto	2
74	OK	Microchip	Golden Rod		Turbo Board	Teal	Eyepatch	Moustache	Air Cut		Piggyboto	1
75	OK	Bolt	Digital Blue	Reptail	Tractor Wheel	Rose Gold		Squiggle	Frog		Cyborgee	2
76	OK		Strawberry	Cape	Rockets	Slate	Blinking Eyes	Small Patch		Cow	Kitty Helmeto	2
77	OK		Powder	Reptail	Rubber Duck	Silver	Multicolor	Marble		Cow	Kitty Helmeto	3
78	OK	Blurple Flower	Mustard	Cape	Mono Thunder	Teal	Big Visor		Sheep		Kittyboto	3
79	OK	Lightbolt Earring	Sunflower		Power Legs	Ruby	Visor	Flying Tongue	Rough Mohawk		Piggyboto	1
80	OK	Lightbolt Earring	Candy Blue	Happy Pack	Tractor Wheel	Slate	Thin Visor	Smile	Blue Monkey		Puppyboto	1
81	OK		Blush	Battery	Scooter	Lavander	Hearts	Smile		Dino	Puppy Helmeto	2
82	OK	Ring	Digital Blue		UFO	Silver	Multicolor	Smile	Ginger		Puppyboto	2
83	OK	Antenna	Powder	Parachute	Turbo Board	Teal	Thug Life	Flying Tongue	Halo		Puppyboto	2
84	NotFound
85	OK	Blue Flower	Mustard	Battery	Flip Flops	Hot Pink			Pyramid		Frogboto	1
86	OK	Lightbolt Earring	Mustard	Katana	Flip Flops	Teal	Nerd		Shark		Kittyboto	3
87	NotFound
88	OK	Antenna	Seafoam	Battery	Flip Flops	Lavander		Robyn	Pony Tail		Cyborgee	1
89	OK	Microchip	Sunflower	Rocket	Moto	Copper		Architect	Spray		Cyborgee	1
90	OK	Rhombus Earring	Mint	Bat Wings	High Tops	Hot Pink	Shades		Antenna		Kittyboto	2
91	OK		Powder	Katana	Wheels	Ruby	Visor	Big Spot		Cow	Kitty Helmeto	1
92	OK	Red Flower	Mint	Rocket	Vaccum	Silver	Kurts	Smile	Antenna		Puppyboto	3
93	OK	Blue Flower	Blush	Happy Pack	Wheels	Hot Pink	Shades		Mohawk		Bunnyboto	1
94	OK		Sunflower	Battery Pack	High Tops	Silver	Kurts	Light Beard		Mia Bangs	Kitty Helmeto	2
95	OK	Chip	Strawberry	Reptail	Wheels	Copper		Scruffy	Red Antenna		Cyborgee	1
96	OK	Pearl Earring	Seafoam	Fin	Rebel	Slate		Scruffy	Crown		Cyborgee	1
97	OK	Radar	Candy Blue	Rocket	Lambo	Slate	Eye Grease		Captain		Kittyboto	3
98	OK		Digital Blue	Reptail	Rockets	Silver	Kurts	Doll		Croc	Kitty Helmeto	3
99	OK		Neon Pink	Battery Pack	Rubber Duck	Lavander	Two Eyes	Smile		Mia Bangs	Puppy Helmeto	3
100	OK	Lightbolt Earring	Seafoam		Wheels	Silver	Driver		Ginger		Lionboto	1
101	NotFound
102	OK	Vertical Antenna	Strawberry	Katana	Turbo Board	Copper			Bun		Frogboto	1
103	NotFound
104	NotFound
105	NotFound
106	OK	Bandaid	Mint	Parachute	Turbo Board	Copper			Bulb		Frogboto	1
107	NotFound
108	NotFound
109	OK	Antenna	Neon Pink		Yacht	Hot Pink	Blinking Eyes	Smile	Air Cut		Piggyboto	1
110	NotFound
111	NotFound
112	OK	Microchip	Strawberry		Cowboy Boots	Hot Pink	Eyepatch	Smile	Curly		Piggyboto	1
113	NotFound
114	OK	Lightbolt Earring	Digital Blue		Rubber Duck	Slate	Straight Visor		Red Antenna		Lionboto	1
115	OK	Vertical Antenna	Sunflower	Happy Pack	Lambo	Ruby		Robyn	Bear Ears		Cyborgee	1
116	OK	Blue Flower	Sunflower	Lightning Bolt	Power Legs	Silver	Stars	Tongue Out	Pyramid Horns		Puppyboto	2
117	OK	Ring	Candy Blue	Pendant Fish	Rockets	Lavander			Halo		Frogboto	1
118	OK	Antenna	Mint	Happy Pack	Flip Flops	Slate	Calm		Raygun		Kittyboto	1
119	OK	Chip	Powder		UFO	Gold	Visor	Flying Tongue	Air Cut		Piggyboto	1
120	NotFound
121	NotFound
122	NotFound
123	OK	Microchip	Digital Blue		Mono Thunder	Ruby	Hearts	Moustache	Top Hat		Piggyboto	1
124	OK	Blue Flower	Mustard	Cape	Turbo Board	Rose Gold	Dim		Punk Cat		Kittyboto	3
125	OK	Chip	Digital Blue	Flag	High Tops	Silver	Nervous		Bulb		Bunnyboto	1
126	OK	Microchip	Blush		Moto	Lavander	Bored Eyes		Bun		Lionboto	2
127	OK		Strawberry	Wings	Tractor Wheel	Slate	Fresh	Tongue Out		Astronaut	Puppy Helmeto	2
128	OK	Microchip	Pear	Pendant Bone	Mono Thunder	Silver	Glam Shades		Blue Monkey		Kittyboto	2
129	NotFound
130	OK	Chip	Mustard	Lightning Bolt	Rubber Duck	Smoke	Dead Eyes	Open Mouth	Camera		Puppyboto	3
131	OK	Pearl Earring	Sunflower	Lightning Bolt	Sport	Rose Gold	Thug Life		Spray		Kittyboto	3
132	OK	Radar	Mint	Bat Wings	Yacht	Copper	Driver		Rough Mohawk		Bunnyboto	1
133	OK	Bulb	Digital Blue	Flag	Turbo Board	Silver	Straight Visor		Bear Ears		Kittyboto	1
134	OK		Mustard	Dino Tail	Rubber Duck	Smoke	Kurts	Doll		Mouse	Kitty Helmeto	2
135	NotFound
136	OK	Vertical Antenna	Neon Pink	Battery	Turbo Board	Gold	Shades	Tongue Out	Top Hat		Puppyboto	2
137	OK		Neon Pink	Cape	High Tops	Teal	Kurts	Flying Tongue		Donkey	Puppy Helmeto	2
138	OK	Lightbolt Earring	Mint		Mono Thunder	Ruby	Stars		Antenna		Koalaboto	2
139	OK		Powder		Wheels	Slate	Eyepatch	Tongue Out		Mullet	Puppy Helmeto	3
140	OK	Radar	Mustard	Fin	Turbo Board	Slate	Sleepy	Smile	Crown		Puppyboto	1
141	OK	Bolt	Strawberry	Cape	Sport	Smoke	Hey		Boat Hat		Kittyboto	1
142	OK		Neon Pink	Fin	Moto	Ruby	Big Visor	Open Mouth		Mouse	Puppy Helmeto	1
143	OK	Pearl Earring	Neon Pink	Battery Pack	Vaccum	Slate		Scruffy	Double Bun		Cyborgee	2
144	NotFound
145	NotFound
146	OK	Chip	Pear		Rubber Duck	Rose Gold	Blinking Eyes		Glass		Koalaboto	1
147	OK	Bulb	Digital Blue		UFO	Teal	Blinking Eyes		Captain		Kittyboto	2
148	OK	Rhombus Earring	Powder	Lightning Bolt	High Tops	Teal	Big Visor	Smile	Boat Hat		Puppyboto	2
149	OK	Ring	Mustard		UFO	Smoke	Fresh		Curly		Kittyboto	2
150	NotFound
151	OK	Chip	Powder	Fin	Roomba	Lavander	Cyclops		Top Hat		Kittyboto	3
152	OK		Neon Pink	Wings	Banana	Lavander	Blinking Eyes	Open Mouth		Spike Force	Puppy Helmeto	1
153	OK	Blue Flower	Seafoam	Parachute	Moto	Lavander	Blinking Eyes	Tongue Out	Bunny Ears		Puppyboto	2
154	OK	Lightbolt Earring	Mustard	Katana	Rockets	Copper	Calm	Tongue Out	Pony Tail		Puppyboto	2
155	OK	Bolt	Neon Pink	Lightning Bolt	Mono Thunder	Smoke		Squiggle	Bulbs Aqua		Cyborgee	1
156	NotFound
157	OK	Bandaid	Strawberry	Happy Pack	Tractor Wheel	Ruby	Thin Visor		Pirate Hat		Kittyboto	2
158	OK		Pear	Flag	Mono Thunder	Hot Pink	Two Eyes	Marble		Panda	Kitty Helmeto	3
159	OK	Ancient Sonar	Blush	Lightning Bolt	High Tops	Ruby	Eyepatch		Frog		Kittyboto	2
160	OK	Sonar	Candy Blue		Power Legs	Copper	Glam Shades	Smile	Spray		Piggyboto	1
161	OK	Bulb	Sunflower		Turbo Board	Teal	Visor	Tongue Out	Top Hat		Piggyboto	1
162	NotFound
163	OK	Antenna	Powder	Wings	Mono Thunder	Silver	Eager Eyes		Antenna		Bunnyboto	1
164	OK	Rhombus Earring	Digital Blue	Fin	Vaccum	Slate	Hally	Tongue Out	Double Bun		Puppyboto	2
165	NotFound
166	OK	Ancient Sonar	Sunflower	Happy Pack	Wheels	Gold	Hearts		Horns		Kittyboto	2
167	NotFound
168	OK	Pearl Earring	Digital Blue	Pendant Fish	Wheels	Slate	Two Eyes		Bunny Ears		Kittyboto	1
169	OK	Ring	Seafoam	Pendant Bone	Turbo Board	Smoke			Spray		Frogboto	1
170	OK	Blue Flower	Neon Pink		Mono Thunder	Copper	Nerd	Smile	Red Antenna		Piggyboto	1
171	OK		Strawberry	Katana	Mono Thunder	Smoke	Visor	Small Patch		Mia Bangs	Kitty Helmeto	2
172	OK	Teal Flower	Golden Rod		UFO	Ruby	Glam Shades	Smile	Mullet		Piggyboto	1
173	OK	Microchip	Pear	Happy Pack	Banana	Rose Gold	Eager Eyes		Seahorse		Kittyboto	3
174	NotFound
175	OK	Rhombus Earring	Pear		Turbo Board	Slate	Eager Eyes	Tongue Out	Bun		Piggyboto	1
176	OK	Bolt	Candy Blue	Cape	Tractor Wheel	Teal	Sleepy	Moustache	Raygun		Puppyboto	1
177	OK	Bulb	Neon Pink		Mono Thunder	Ruby	Artoo	Flying Tongue	Mullet		Piggyboto	1
178	OK	Teal Flower	Blush	Rocket	Moto	Lavander	Visor		Top Hat		Bunnyboto	1
179	OK	Blue Flower	Golden Rod	Fin	Lambo	Ruby	Kurts	Open Mouth	Ginger		Puppyboto	2
180	OK		Candy Blue	Rocket	Air	Ruby	Blinking Eyes	Big Spot	Sodas		Kittyboto	2
181	OK	Blue Flower	Mint		Cowboy Boots	Copper	Glam Shades		Rough Mohawk		Lionboto	3
182	OK	Chip	Neon Pink		UFO	Slate	Eager Eyes	Open Mouth	Raygun		Piggyboto	1
